0	1	2	3	4	5
Q03383	Bombyx mori	Metazoa	400	16	Validation_1
Q61400	Mus musculus	Metazoa	265	33	Validation_1
Q9BZM5	Homo sapiens	Metazoa	246	25	Validation_1
P13204	Bos taurus	Metazoa	129	26	Validation_1
Q27085	Tachypleus tridentatus	Metazoa	418	24	Validation_1
Q8MMH3	Pimpla hypochondriaca	Metazoa	488	19	Validation_1
P00724	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	532	19	Validation_1
Q9VG55	Drosophila melanogaster	Metazoa	191	24	Validation_1
P67788	Manduca sexta	Metazoa	65	19	Validation_1
Q6UW56	Homo sapiens	Metazoa	229	30	Validation_1
P22327	Trichoplusia ni	Metazoa	624	18	Validation_1
O43278	Homo sapiens	Metazoa	529	35	Validation_1
P80022	Solanum lycopersicum	Viridiplantae	230	25	Validation_1
Q09117	Populus deltoides	Viridiplantae	312	24	Validation_1
P18417	Catharanthus roseus	Viridiplantae	352	31	Validation_1
P20333	Homo sapiens	Metazoa	461	22	Validation_1
M1MR49	Rhipicephalus appendiculatus	Metazoa	176	24	Validation_1
Q9SLP4	Tulipa saxatilis subsp. bakeri	Viridiplantae	314	26	Validation_1
Q8BSU2	Mus musculus	Metazoa	246	26	Validation_1
Q8WPJ2	Mytilus edulis	Metazoa	367	17	Validation_1
P09486	Homo sapiens	Metazoa	303	17	Validation_1
P07602	Homo sapiens	Metazoa	524	16	Validation_1
P15261	Mus musculus	Metazoa	477	25	Validation_1
Q7TQN3	Mus musculus	Metazoa	571	29	Validation_1
P20757	Ovis aries	Metazoa	476	24	Validation_1
P08375	Sarcophaga peregrina	Metazoa	63	23	Validation_1
Q99935	Homo sapiens	Metazoa	248	21	Validation_1
P81941	Pseudopleuronectes americanus	Metazoa	68	22	Validation_1
Q8LD43	Arabidopsis thaliana	Viridiplantae	62	22	Validation_1
P13611	Homo sapiens	Metazoa	3396	20	Validation_1
P26202	Oryctolagus cuniculus	Metazoa	137	20	Validation_1
P56201	Oryctolagus cuniculus	Metazoa	797	24	Validation_1
Q8JFQ0	Bombina maxima	Metazoa	96	19	Validation_1
P01588	Homo sapiens	Metazoa	193	27	Validation_1
P82143	Gloydius brevicaudus siniticus	Metazoa	200	19	Validation_1
O64392	Triticum aestivum	Viridiplantae	146	21	Validation_1
P13385	Homo sapiens	Metazoa	188	30	Validation_1
Q86Y34	Homo sapiens	Metazoa	549	20	Validation_1
P80090	Lymnaea stagnalis	Metazoa	122	29	Validation_1
Q27967	Bos taurus	Metazoa	203	23	Validation_1
P02774	Homo sapiens	Metazoa	474	16	Validation_1
P29007	Bombina orientalis	Metazoa	155	31	Validation_1
P61916	Homo sapiens	Metazoa	151	19	Validation_1
P19876	Homo sapiens	Metazoa	107	34	Validation_1
P79263	Sus scrofa	Metazoa	921	27	Validation_1
Q9LLT1	Juniperus virginiana	Viridiplantae	367	21	Validation_1
P47710	Homo sapiens	Metazoa	185	15	Validation_1
P28319	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	239	20	Validation_1
O95866	Homo sapiens	Metazoa	241	17	Validation_1
P25236	Rattus norvegicus	Metazoa	385	19	Validation_1
Q9HB40	Homo sapiens	Metazoa	452	26	Validation_1
Q05895	Mus musculus	Metazoa	956	21	Validation_1
P12318	Homo sapiens	Metazoa	317	33	Validation_1
P06332	Mus musculus	Metazoa	457	26	Validation_1
Q71DJ5	Arabidopsis thaliana	Viridiplantae	393	20	Validation_1
Q9UVI4	Claviceps fusiformis	Fungi	394	16	Validation_1
P47178	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	298	19	Validation_1
P23438	Canis lupus familiaris	Metazoa	183	17	Validation_1
P54837	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	211	20	Validation_1
P21570	Mus musculus	Metazoa	145	24	Validation_1
P0DUQ6	Conus planorbis	Metazoa	70	21	Validation_1
Q25055	Holotrichia diomphalia	Metazoa	104	20	Validation_1
P80060	Locusta migratoria	Metazoa	92	19	Validation_1
P80686	Tenebrio molitor	Metazoa	211	16	Validation_1
P16235	Rattus norvegicus	Metazoa	700	26	Validation_1
P00687	Mus musculus	Metazoa	511	15	Validation_1
P42660	Aedes aegypti	Metazoa	471	19	Validation_1
P01076	Solanum lycopersicum	Viridiplantae	77	32	Validation_1
Q9H6E4	Homo sapiens	Metazoa	229	22	Validation_1
P02659	Gallus gallus	Metazoa	106	24	Validation_1
P34998	Homo sapiens	Metazoa	415	23	Validation_1
A6XMY0	Hyas araneus	Metazoa	64	25	Validation_1
Q9UAH3	Pinctada fucata	Metazoa	129	23	Validation_1
Q6UX46	Homo sapiens	Metazoa	152	24	Validation_1
Q1XG90	Crassostrea virginica	Metazoa	135	18	Validation_1
Q9GZZ8	Homo sapiens	Metazoa	138	19	Validation_1
Q05443	Bos taurus	Metazoa	342	18	Validation_1
P29241	Aplysia californica	Metazoa	282	24	Validation_1
P28039	Homo sapiens	Metazoa	575	23	Validation_1
